COUNTER;NAME    ;GRUPPE  ;NUMMER  ;GERAET  ;Temp;FehlerNr;PRIO    ;BESCHREIBUNG;URSACHE ;BEMERK. ;LEVEL   ;SW-VERS ;REAKT.  ;QUIT    ;ABHILFE ;KUERZEL ;Vari_Nr;ET;;;;;;;;;;;;;;;;;;;;
322;"VR Versorg. Leistungskreis
";"31
";"91
";"A
";;A3191;"0
";Valve processor error;There is a power supply at the device input and the main switch is switched on, but the voltage in the power circuit is < 10 V or > 36 V.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Key switch;Check solenoid coil wires for short circuit, replacing MCU if necessary.;"De
";"ERR_VR_VERS_LEISTUNG_388
";;;;;;;;;;;;;;;;;;;;;
323;"VR Versorg. 12V Treiber.
";"31
";"92
";"A
";;A3192;"16
";Valve processor error;The supply voltage for the driver stages is outside the tolerance range of 10.5 V to 13.5 V.;"----
";"SERV1
";"ab 0.01
";Working hydraulics not active;Automatically if error is rectified;Replace MCU;"De
";"ERR_VR_VERS_TREIBER_389
";;;;;;;;;;;;;;;;;;;;;
324;"VR Übertemperatur Endstufe
";"31
";"93
";"A
";;A3193;"0
";Valve processor overtemperature;Output stage temperature exceeded 80°C.;"----
";"SERV1
";"ab 0.01
";;Automatically if error is rectified;Restart truck. Check the valve currents (< 1.6 A). If the error keeps occurring, replace the MCU.;"De
";"ERR_VR_TEMP_ENDSTUFE_390
";;;;;;;;;;;;;;;;;;;;;
320;"VR Versorg.24V Leistung
";"31
";"94
";"A
";;A3194;"16
";Valve processor error;There is no 24 V supply voltage to the device input when contactor K1 is switched on.;"----
";"SERV1
";"ab 1.02
";;Automatically if error is rectified;Check 24 V supply voltage.;"De
";"ERR_VR_VERSORG_GERAET_386
";;;;;;;;;;;;;;;;;;;;;
205;"Plausib.-Fehler Lenkwinkelerf.
";"32
";"02
";"A
";"3202
";A3202;"0
";Steering angle sensor error;Steering angle recording detects an implausible status;"
";"NORM
";"ab 0.03
";Limitation of the max. speed. Plain text error message: STEERING ERROR.;Reset;Check the steering angle sensor system and the parameters;"MSch,We
";"ERR_LW_PlauCheck_220
";;;;;;;;;;;;;;;;;;;;;
133;"Sammelf. Lenkwinkelgeber
";"32
";"15
";"A
";;A3215;"0
";Steering angle sensor error;Failure of the steering angle sensor on the steering column;"Meldetext: LENKEN
";"NORM
";"ab 0.01
";Truck can only be driven at emergency mode speed;Key switch;Check steering angle sensor and wiring, replacing if necessary. Delete error list.;"We
";"ERR_LW_Geber_143
";;;;;;;;;;;;;;;;;;;;;
157;"Lenkwinkelsch.: Schalter Links
";"32
";"21
";"A
";;A3221;"0
";Error in left steering angle switch;Switch faulty, wiring error;"Lenkwinkelschalter Links
Fehler kann durch Lenken zurückgesetzt werden.
Fehler kann durch Löschen der Fehlerliste zurück gesetzt werden
";"SERV1
";"ab 0.01
";;;Check left steering angle sensor and wiring, replacing if necessary. Delete error list. Reload original parameters.;"We
";"ERR_LW_SchalterL_168
";;;;;;;;;;;;;;;;;;;;;
158;"Lenkwinkelsch.: Schalter Rechts
";"32
";"26
";"A
";;A3226;"0
";Error in right steering angle switch;Switch faulty, wiring error;"Lenkwinkelschalter Rechts
Fehler kann durch Lenken zurückgesetzt werden.
Fehler kann durch Löschen der Fehlerliste zurück gesetzt werden
";"SERV1
";"ab 0.01
";;;Check right steering angle sensor and wiring, replacing if necessary. Delete error list. Reload original parameters.;"We
";"ERR_LW_SchalterR_169
";;;;;;;;;;;;;;;;;;;;;
171;"Sammelfehler CIO1
";"33
";"05
";"A
";;A3305;"0
";CIO error;Configuration error. Hardware version does not correspond to parameters. Drop in 12 V ext. voltage or GND/VCC breakdown at analogue inputs.;"Klartextmeldung STEUERGERAET
";"NORM
";"ab 0.63
";The CIO does not work;;Check CIO and wiring, replacing if necessary.;"AW
";"ERR_ZEL_CIO1_185
";;;;;;;;;;;;;;;;;;;;;
211;"Sammelf. Lastmessung
";"34
";"00
";"A
";;A3400;"0
";Load measurement error;Error in the load measurement (sensor breakdown, configuration, hardware conflicts);"bei BDE fehlerhafte Messdaten moeglich
";"NORM
";"ab 0.37
";;;Check pressure sensor wiring and function, replacing if necessary. Check parameterising.;"Vo
";"ERR_LAM_225
";;;;;;;;;;;;;;;;;;;;;
159;"Sensorfehler Batterietuer
";"34
";"03
";"A
";;A3403;"16
";Battery door sensor fault;Battery door not been actuated for a long time, faulty sensor on battery door, wiring faulty;"
";"SERV1
";"ab 0.89
";Parameterisable: Limit hydraulics and/or speed;Automatically if error is rectified;Open/close battery door, replace battery door sensor.;"De
";"ERR_SSP_BATU_170
";;;;;;;;;;;;;;;;;;;;;
160;"Schalterfehler Handbremse
";"34
";"04
";"A
";;A3404;"16
";Handbrake switch error;Handbrake not been actuated for a long time, faulty sensor, wiring faulty;"
";"SERV1
";"ab 0.89
";Parameterisable: Limit hydraulics and/or speed;Automatically if error is rectified;Apply/release handbrake, replace switch on handbrake.;"De
";"ERR_SSP_HABR_171
";;;;;;;;;;;;;;;;;;;;;
151;"Sammelfehler Kalibrierung
";"35
";"00
";"A
";;A3500;"16
";Calibration error;Ext. supply voltage insufficient or excessive;"Kalibrierung fehlgeschlagen
";"SERV1
";"ab 0.01
";Calibration cancelled;;"Perform calibration again. Check the wiring and sensor system; change MCU if necessary.";"R+T/aw
";"ERR_kal_sammel_162
";;;;;;;;;;;;;;;;;;;;;
145;"Fahrgeber Sammelfehler
";"35
";"01
";"A
";;A3501;"16
";Accelerator error;1. Potentiometer voltage outside the permitted range2. Error writing to EEprom;"Kalibrierung Fahrgeber
RX20: nur bei 1-Pedal mit 1 Poti
";"SERV1
";"ab 0.01
";Drive unit is disabled;Automatically if error is rectified;"Check accelerator and wiring, replacing if necessary. Recalibrate accelerator; replace MCU if necessary.";"R+T/aw
";"ERR_kal_fgb_sammel_155
";;;;;;;;;;;;;;;;;;;;;
120;"Param Fahrg 2-Potis Kalib aussrh
";"35
";"04
";"A
";;A3504;"0
";Parameter error in dual-pedal accelerator;Calibration invalid;"siehe auch Dokumentation
- zur 2-Pedal-Bodenplatte
- zur 1-Pedal-Bodenplatte mit 2-Potis
FZG funktioniert mit Defaultparametern
";"SERV1
";"ab 0.01
";Drive unit is disabled;Automatically if error is rectified;Check dual-pedal accelerator and wiring. Recalibrate accelerator. Reload original parameters.;"MSch,ZiRo
";"ERR_FGB_KAL_Para_130
";;;;;;;;;;;;;;;;;;;;;
121;"Messf. Fahrg. 2-Potis Kalib.
";"35
";"05
";"A
";;A3505;"0
";Parameter error in dual-pedal accelerator;1. Potentiometer voltage outside the permitted range2. Error writing to EEprom;"siehe auch Dokumentation
- zur 2-Pedal-Bodenplatte
- zur 1-Pedal-Bodenplatte mit 2-Potis
Meldetext: FAHRGEBER
Es werden Ersatztwerte für die Grenzwerte verwendet.
Dies kann zu einer Begrenzung der maximalen Fahrgeschwindigkeit führen.
";"NORM
";"ab 0.01
";;Automatically if error is rectified;Check dual-pedal accelerator and wiring. Recalibrate accelerator. Reload original parameters.;"MSch,ZiRo
";"ERR_FGB_KAL_2Ped_131
";;;;;;;;;;;;;;;;;;;;;
156;"Param. 1-Pedal-Kalib. ausserh.
";"35
";"06
";"A
";;A3506;"0
";Single-pedal accelerator error;Calibration invalid;"
";"SERV1
";"ab 0.01
";;Automatically if error is rectified;Check single-pedal accelerator and wiring, replacing if necessary. Recalibrate zero position. Reload original parameters.;"ZiRo
";"ERR_FGB_KAL_1P_167
";;;;;;;;;;;;;;;;;;;;;
146;"Bremsgeber Sammelfehler
";"35
";"10
";"A
";;A3510;"16
";Brake sensor error;A) During calibration:1. Potentiometer voltage outside the permitted range.2. Error writing to EEprom.B) System startup1: Calibration invalid.;"Kalibrierung Bremsgeber
-aktive Kalibrierung wird unterbrochen und ungueltig markiert
-es werden Defaultwerte verwendet
";"SERV1
";"ab 0.01
";;Automatically if error is rectified;"Check brake sensor and wiring, replacing if necessary. Recalibrate; change MCU if necessary.";"R+T/aw
";"ERR_kal_brg_sammel_156
";;;;;;;;;;;;;;;;;;;;;
147;"Hebengeber Sammelfehler
";"35
";"15
";"A
";;A3515;"16
";Lift transmitter error;A) During calibration:1. Potentiometer voltage outside the permitted range.2. Error writing to EEprom.B) System start 1:Invalid calibration.;"Kalibrierung Hebengeber
-aktive Kalibrierung wird unterbrochen und ungueltig markiert
-es werden Defaultwerte verwendet
";"SERV1
";"ab 0.01
";;Automatically if error is rectified;"Check lift transmitter and wiring, replacing if necessary. Recalibrate; change MCU if necessary.";"R+T/aw
";"ERR_kal_heb_sammel_157
";;;;;;;;;;;;;;;;;;;;;
148;"Neigengeber Sammelfehler
";"35
";"20
";"A
";;A3520;"16
";Tilt transmitter error;A) During calibration:1. Potentiometer voltage outside the permitted range.2. Error writing to EEprom.B) System start 1:Invalid calibration.;"Kalibrierung Neigengeber
-aktive Kalibrierung wird unterbrochen und ungueltig markiert
-es werden Defaultwerte verwendet
";"SERV1
";"ab 0.01
";;Automatically if error is rectified;"Check tilt transmitter and wiring, replacing if necessary. Recalibrate; change MCU if necessary.";"R+T/aw
";"ERR_kal_nei_sammel_158
";;;;;;;;;;;;;;;;;;;;;
149;"Zusatzgeber 1 Sammelfehler
";"35
";"25
";"A
";;A3525;"16
";Additional transmitter 1 error;A) During calibration:1. Potentiometer voltage outside the permitted range.2. Error writing to EEprom.B) System start 1:Invalid calibration.;"Kalibrierung Z1-Geber
-aktive Kalibrierung wird unterbrochen und ungueltig markiert
-es werden Defaultwerte verwendet
";"SERV1
";"ab 0.01
";;Automatically if error is rectified;"Check additional transmitter 1 and wiring, replacing if necessary. Recalibrate; change MCU if necessary.";"R+T/aw
";"ERR_kal_z1_sammel_159
";;;;;;;;;;;;;;;;;;;;;
150;"Zusatzgeber 2 Sammelfehler
";"35
";"30
";"A
";;A3530;"16
";Additional transmitter 2 error;A) During calibration:1. Potentiometer voltage outside the permitted range.2. Error writing to EEprom.B) System start 1:Invalid calibration.;"Kalibrierung Z2-Geber
-aktive Kalibrierung wird unterbrochen und ungueltig markiert
-es werden Defaultwerte verwendet
";"SERV1
";"ab 0.01
";;Automatically if error is rectified;"Check additional transmitter 2 and wiring, replacing if necessary. Recalibrate; change MCU if necessary.";"R+T/aw
";"ERR_kal_z2_sammel_160
";;;;;;;;;;;;;;;;;;;;;
226;"Curve Speed Ctrl Kalibrierfehler
";"35
";"50
";"A
";;A3550;"0
";Curve speed control calibration error;A) During calibration:1. Implausible switch change.2. Invalid number of increments between switch changes.3. Error writing to EEprom.B) System startup1. Calibration invalid.;"Kalibrierung Curve Speed Control
-aktive Kalibrierung wird unterbrochen und ungueltig markiert
-Begrenzung der Fahrgeschwindigkeit auf 6km/h
-Klartextfehlermeldung auf der ABE
";"NORM
";"ab 0.80
";Truck can only be driven at emergency mode speed;Automatically if error is rectified;Perform calibration again. Check sensors and wiring, replacing if necessary.;"R+T/aw
";"ERR_KAL_CSC_SAMMEL_240
";;;;;;;;;;;;;;;;;;;;;
227;"Batt.-Auszug Kalibrierfehler
";"35
";"55
";"A
";;A3555;"0
";Battery carrier error;A) During calibration1. Potentiometer voltage outside the permitted range.2. Error writing to EEpromB) System startup1. Calibration invalid;"Kalibrierung Batterievollauszug
";"NORM
";"ab 0.80
";- Active calibration is cancelled and marked as invalid- Extension function of carrier locked (retraction still possible)- Plain text error message;;"Check support roller potentiometer, CPP5, limit position switch and wiring; replace if necessary";"R+T/aw
";"ERR_KAL_BAV_SAMMEL_241
";;;;;;;;;;;;;;;;;;;;;
228;"Mast Kalibrierfehler
";"35
";"60
";"A
";;A3560;"0
";Mast vertical position calibration error;A) During calibration:1. Potentiometer voltage outside the permitted range.2. Error writing to EEprom.B) System startup1: Calibration invalid.;"Kalibrierung Mastsensor
-aktive Kalibrierung wird unterbrochen und ungültig markiert
-keine Endlagendämpfung
-Default Nullstellung
";"NORM
";"ab 0.80
";;Automatically if error is rectified;Check sensors and wiring, replacing if necessary. Replace MCU.;"R+T/aw
";"ERR_KAL_MAST_SAMMEL_242
";;;;;;;;;;;;;;;;;;;;;
24;"Betriebsstundenzaehler
";"37
";"02
";"A
";;A3702;"0
";Internal process error in hour meter;No valid dataset available for the hour meter;"Fataler Fehler, damit sind alle Zaehler kaputt
";"SERV1
";"ab 0.01
";Hour meter reinitialises to 0;;Replace MCU;"We
";"ERR_BSZ_29
";;;;;;;;;;;;;;;;;;;;;
194;"unglt. Checks. Kilometerzaehler
";"37
";"07
";"A
";;A3707;"0
";Internal process error in odometer;RAM fuse has invalid check sum;"kann auftreten, wenn Battriepufferung fuer RAM fehlt.
Wegzaehler und Tripzaehler werden auf Null gesetzt.
";"SERV1
";"0.01
";;Key switch;New battery in MCU. Reset time after replacing!;"We
";"ERR_Weg_Checksum_208
";;;;;;;;;;;;;;;;;;;;;
166;"ungueltiger Fzg-Typ/St.-Ger.-Typ
";"38
";"01
";"A
";;A3801;"16
";Internal process error in truck configuration;EEprom data does not correspond to associated software. Possible causes of faulty parameterising:- Truck type- Truck geometry- Lift mast type;"Meldetext: KONFIGURATION
";"NORM
";"0.01
";No contactor activation;Key switch;Truck configurationCheck parameterising. Flash the truck software.;"We
";"ERR_fzg_id_177
";;;;;;;;;;;;;;;;;;;;;
128;"Fahrgeberkonfig. fehlerhaft
";"38
";"11
";"A
";;A3811;"0
";Internal process error in accelerator;Configuration of accelerator and drive direction switch is invalid.;"Meldetext: FAHRGEBER
";"NORM
";"ab 0.01
";Truck will not drive, accelerator has no effect;Key switch;Check accelerator parameterising. Check drive direction parameterising.;"MSch,ZiRo
";"ERR_FGB_konf_138
";;;;;;;;;;;;;;;;;;;;;
167;"unzulaessige FahrprogrammParam.
";"38
";"12
";"A
";;A3812;"0
";Internal process error in drive programme;Drive programme parameters are outside the permitted range;"Parameter werden intern begrenzt
Meldetext: KONFIGURATION
";"NORM
";"0.01
";;Key switch;Check parameterising of drive programme.;"MSch
";"ERR_FPG_Para_178
";;;;;;;;;;;;;;;;;;;;;
168;"ZEL: zu wenig Arg. fuer Funktion
";"38
";"32
";"A
";;A3832;"0
";Internal process error in additional electrical installation;Too few arguments to process a parameterisable additional electrical installation function;"betreffende ZEL-Funktion arbeitet nicht
";"SERV1
";"0.23
";;Key switch;Check parameterising of additional electrical installation.;"ZiRo
";"ERR_PSS_182
";;;;;;;;;;;;;;;;;;;;;
169;"Sammelf. Relaisbox, CPP
";"38
";"40
";"A
";;A3840;"0
";Internal process error in CPP;Configuration error (parameters), impermissible CPP channel or output configured several times;"Sammelfehler ZEL-Ausgangskanaele
keine Funktion der betreffenden Kanäle
";"SERV1
";"ab 0.03
";;Key switch;Check CPP parameterising.;"ZiRo
";"ERR_CPP_183
";;;;;;;;;;;;;;;;;;;;;
296;"Konf. Koppelfeld
";"38
";"61
";"A
";;A3861;"0
";Internal process error in crossbar switch;Parameter error: Crossbar switch index outside the defined range or crossbar switch index points to own element (recursion);"
";"SERV1
";"
";;Key switch;Check crossbar switch parameterising.;"De
";"ERR_UE_JOY_KOP_A_350
";;;;;;;;;;;;;;;;;;;;;
294;"Konf. Geber (Geberkennline)
";"38
";"62
";"A
";;A3862;"0
";Parameter error in transmitter characteristic curve;Parameterisation error in input characteristic curves (transmitter characteristic curve for setpoint device);"Die Stuetzstellen muessen kontinuierlich steigend sein (y[1] > y[0] usw.)
x3>x2>x1>x0
y3>y2>y1>y0
";"SERV1
";"
";;Key switch;Check parameterising for transmitter input characteristic curve.;"De
";"ERR_UE_prm_poti_348
";;;;;;;;;;;;;;;;;;;;;
295;"Konf. Pumpenkennlinie
";"38
";"63
";"A
";;A3863;"0
";Parameter error in pump characteristic curve;Parameterisation error in pump characteristic curves or failure to observe min./max. number of revolutions for pump;"Die Stuetzstellen müssen kontinuierlich steigend sein (y[1] > y[0] usw.)
";"SERV1
";"
";;Key switch;Check parameterising for pump characteristic curve.;"De
";"ERR_UE_prm_pump_349
";;;;;;;;;;;;;;;;;;;;;
293;"Konf. Ventilkennlinie
";"38
";"64
";"A
";;A3864;"0
";Parameter error in valve characteristic curve;Parameterisation error in valve characteristic curves;"Die Stuetzstellen muessen kontinuierlich steigend sein (y[1] > y[0] usw.)
x3>x2>x1>x0
y3>y2>y1>y0
";"SERV1
";"
";;Key switch;Check parameterising for valve characteristic curve.;"De
";"ERR_UE_prm_vent_347
";;;;;;;;;;;;;;;;;;;;;
297;"Konf. Ventilregler
";"38
";"65
";"A
";;A3865;"0
";Parameter error in valve regulator;Parameterisation error in valve regulator;"Ventilregler arbeitet mit Defaultwerten
";"SERV1
";"
";;Key switch;Check parameterising for valve regulator.;"De
";"ERR_UE_PVR_VRG_351
";;;;;;;;;;;;;;;;;;;;;
181;"Konf. PropTechnik Sollwertgeber
";"38
";"67
";"A
";;A3867;"0
";Configuration of prop. technology setpoint device;The configuration of the proportional technology setpoint device is implausible;"Die Plausibilisierung hat erkannt, dass die parametrierte Prop-Bedieneinheit
nicht mit der angeschlossenen übereinstimmt.
";"SERV1
";"ab 0.88
";;Key switch;Check parameterising for truck and prop. technology;"De
";"ERR_PROP_SOLLW_GEB_195
";;;;;;;;;;;;;;;;;;;;;
201;"allg. Konf. Komfortpaket
";"38
";"90
";"A
";;A3890;"0
";Internal process error in comfort package;Parameter limits exceeded;"nur bei Variante: Sicherheitspaket Hubhoehenerkennung
Parametrierung SHE
";"SERV1
";"ab 0.01
";;Key switch;Check parameterising for lift height detection.;"We, AW
";"ERR_SHE_PAR_215
";;;;;;;;;;;;;;;;;;;;;
41;"TN1 Anmeldefehler
";"39
";"02
";"A
";;A3902;"16
";SU login error;No communication with SU;"CANopen Anmeldung TN1 (SU)
";"SERV1
";"ab ?.??
";No contactor activation;Key switch;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN1_Anm_49
";;;;;;;;;;;;;;;;;;;;;
57;"TN1 PDO-WD: Ger. - TN (Sendef.)
";"39
";"03
";"A
";;A3903;"16
";SU communication error;SR cannot send PDOs on time;"CANopen-PDO-Wd TN1 TX (SR->SU)
";"SERV1
";"ab 0.01
";No contactor activation;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN1_TX_65
";;;;;;;;;;;;;;;;;;;;;
58;"TN1 PDO-WD: Ger. - TN (Empf.-F)
";"39
";"04
";"A
";;A3904;"16
";SU communication error;SR cannot receive PDOs on time;"CANopen-PDO-Wd TN1 RX (SR<-SU)
";"SERV1
";"ab 0.01
";No contactor activation;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN1_RX_66
";;;;;;;;;;;;;;;;;;;;;
42;"TN2 Anmeldefehler
";"39
";"07
";"A
";;A3907;"16
";FU1 login error;No communication with FU1;"CANopen Anmeldung TN2 (FU1)
";"SERV1
";"ab 0.01
";No contactor activation;Key switch;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN2_Anm_50
";;;;;;;;;;;;;;;;;;;;;
59;"TN2 PDO-WD: Ger. - TN (Sendef.)
";"39
";"08
";"A
";;A3908;"16
";FU1 communication error;SR cannot send PDOs on time;"CANopen-PDO-Wd TN2 TX (SR->FU1)
";"SERV1
";"ab 0.01
";Drive unit is locked, no drive function;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN2_TX_67
";;;;;;;;;;;;;;;;;;;;;
60;"TN2 PDO-WD: Ger. - TN (Empf.-F)
";"39
";"09
";"A
";;A3909;"16
";FU1 communication error;SR cannot receive PDOs on time;"CANopen-PDO-Wd TN2 RX (SR<-FU1)
";"SERV1
";"ab 0.01
";Drive unit is locked, no drive function;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN2_RX_68
";;;;;;;;;;;;;;;;;;;;;
43;"TN3 Anmeldefehler
";"39
";"12
";"A
";;A3912;"16
";FU2 login error;No communication with FU2;"CANopen Anmeldung TN3 (FU2)
";"SERV1
";"ab 0.01
";No contactor activation;Key switch;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN3_Anm_51
";;;;;;;;;;;;;;;;;;;;;
61;"TN3 PDO-WD: Ger. - TN (Sendef.)
";"39
";"13
";"A
";;A3913;"16
";FU2 communication error;SR cannot send PDOs on time;"CANopen-PDO-Wd TN3 TX (SR->FU2)
";"SERV1
";"ab 0.01
";Drive unit is locked, no drive function;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN3_TX_69
";;;;;;;;;;;;;;;;;;;;;
62;"TN3 PDO-WD: Ger. - TN (Empf.-F)
";"39
";"14
";"A
";;A3914;"16
";FU2 communication error;SR cannot receive PDOs on time;"CANopen-PDO-Wd TN3 RX (SR<-FU2)
";"SERV1
";"ab 0.01
";Drive unit is locked, no drive function;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN3_RX_70
";;;;;;;;;;;;;;;;;;;;;
44;"TN4 Anmeldefehler
";"39
";"17
";"A
";;A3917;"16
";PU login error;No communication with PU;"CANopen Anmeldung TN4 (PU)
";"SERV1
";"ab 0.01
";No contactor activation;Key switch;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN4_Anm_52
";;;;;;;;;;;;;;;;;;;;;
63;"TN4 PDO-WD: Ger. - TN (Sendef.)
";"39
";"18
";"A
";;A3918;"16
";PU communication error;SR cannot send PDOs on time;"CANopen-PDO-Wd TN4 TX (SR->PU)
";"SERV1
";"ab 0.01
";Drive unit and hydraulic drive disabled;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN4_TX_71
";;;;;;;;;;;;;;;;;;;;;
64;"TN4 PDO-WD: Ger. - TN (Empf.-F)
";"39
";"19
";"A
";;A3919;"16
";PU communication error;SR cannot receive PDOs on time;"CANopen-PDO-Wd TN4 RX (SR<-PU)
";"SERV1
";"ab 0.01
";Drive unit and hydraulic drive disabled;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN4_RX_72
";;;;;;;;;;;;;;;;;;;;;
45;"TN5 Anmeldefehler
";"39
";"22
";"A
";;A3922;"16
";ABE login error;No communication with ABE;"CANopen Anmeldung TN5 (ABE)
Bei Fahrzeugen mit ABE1 wird der Fahrantrieb nicht gesperrt.
Keine Anzeigefunktion
";"SERV1
";"ab 0.01
";Drive unit is locked, no drive function;Key switch;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN5_Anm_53
";;;;;;;;;;;;;;;;;;;;;
65;"TN5 PDO-WD: Ger. - TN (Sendef.)
";"39
";"23
";"A
";;A3923;"16
";ABE communication error;SR cannot send PDOs on time;"CANopen-PDO-Wd TN5 TX (SR->ABE)
Bei Fahrzeugen mit ABE1 wird der Fahrantrieb nicht gesperrt.
Keine Anzeigefunktion
";"SERV1
";"ab 0.01
";Drive unit is locked, no drive function;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN5_TX_73
";;;;;;;;;;;;;;;;;;;;;
66;"TN5 PDO-WD: Ger. - TN (Empf.-F)
";"39
";"24
";"A
";;A3924;"16
";ABE communication error;SR cannot receive PDOs on time;"CANopen-PDO-Wd TN5 RX (SR<-ABE)
Bei Fahrzeugen mit ABE1 wird der Fahrantrieb nicht gesperrt.
Keine Anzeigefunktion
";"SERV1
";"ab 0.01
";Drive unit is locked, no drive function;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN5_RX_74
";;;;;;;;;;;;;;;;;;;;;
46;"TN6 Anmeldefehler
";"39
";"27
";"A
";;A3927;"16
";FIT login error;No communication with fingertip;"CANopen Anmeldung TN6 (FIT, SLC)
";"SERV1
";"ab ?.??
";Drive unit and hydraulic drive disabled;Key switch;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN6_Anm_54
";;;;;;;;;;;;;;;;;;;;;
67;"TN6 PDO-WD: Ger. - TN (Sendef.)
";"39
";"28
";"A
";;A3928;"16
";FIT communication error;SR cannot send PDOs on time;"CANopen-PDO-Wd TN6 RX (SR<-FIT,SLC)
";"SERV1
";"ab ?.??
";Hydraulic drive is disabled;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN6_TX_75
";;;;;;;;;;;;;;;;;;;;;
68;"TN6 PDO-WD: Ger. - TN (Empf.-F)
";"39
";"29
";"A
";;A3929;"16
";FIT communication error;SR cannot receive PDOs on time;"CANopen-PDO-Wd TN6 RX (SR<-FIT,SLC)
";"SERV1
";"ab ?.??
";Hydraulic drive is disabled;Release accelerator;Check the CAN bus. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN6_RX_76
";;;;;;;;;;;;;;;;;;;;;
47;"TN7 Anmeldefehler
";"39
";"32
";"A
";;A3932;"16
";CPP1 login error;No communication to CPP1. GND F interruption to truck chassis;"CANopen Anmeldung TN7 (CPP1)
";"SERV1
";"ab 0.03
";;Key switch;Check the CAN bus. Check SU for GND interruption. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN7_Anm_55
";;;;;;;;;;;;;;;;;;;;;
69;"TN7 PDO-WD: Ger. - TN (Sendef.)
";"39
";"33
";"A
";;A3933;"0
";CPP1 communication error;SR cannot send PDOs on time. GND F interruption to truck chassis.;"CANopen-PDO-Wd TN7 TX (SR->CPP1)
";"SERV1
";"ab 0.03
";Electrical consumers are partially inactive;Automatically if error is rectified;Check the CAN bus. Check SU for GND interruption. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN7_TX_77
";;;;;;;;;;;;;;;;;;;;;
70;"TN7 PDO-WD: Ger. - TN (Empf.-F)
";"39
";"34
";"A
";;A3934;"0
";CPP1 communication error;SR cannot send PDOs on time. GND F interruption to truck chassis.;"CANopen-PDO-Wd TN7 RX (SR<-CPP1)
";"SERV1
";"ab 0.03
";Electrical consumers are partially inactive;Automatically if error is rectified;Check the CAN bus. Check SU for GND interruption. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN7_RX_78
";;;;;;;;;;;;;;;;;;;;;
48;"TN8 Anmeldefehler
";"39
";"37
";"A
";;A3937;"16
";CPP2 login error;No communication to CPP2. GND F interruption to truck chassis;"CANopen Anmeldung TN8 (CPP2)
";"SERV1
";"ab 0.03
";;Key switch;Check the CAN bus. Check SU for GND interruption. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN8_Anm_56
";;;;;;;;;;;;;;;;;;;;;
71;"TN8 PDO-WD: Ger. - TN (Sendef.)
";"39
";"38
";"A
";;A3938;"0
";CPP2 communication error;SR cannot send PDOs on time. GND F interruption to truck chassis.;"CANopen-PDO-Wd TN8 TX (SR->CPP2)
angesteuerte Verbraucher werden nicht richtig EIN/AUS
geschaltet
Im Fehlerfall wird der Teilnehmer automatisch wieder
angemeldet. Ursache ist der Spannungsumformer 400W,
der nicht ausreichend Unterspannungsfest ist und dadurch
im Falle Batterierestladung ca. 0%, die VCC der CPPs zusammen-
brechen laesst und somit den Fehler verursachen kann.
";"SERV1
";"ab 0.03
";Electrical consumers are partially inactive;Automatically if error is rectified;Check the CAN bus. Check SU for GND interruption. Flash the truck software. Replace MCU.;"We
";"ERR_CMC_TN8_TX_79
";;;;;;;;;;;;;;;;;;;;;
